"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","47uF","~","Capacitor_THT:C_Axial_L12.0mm_D6.5mm_P20.00mm_Horizontal","1",""
"C2,C3","220nF","~","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","2",""
"C4,C6","10nF","~","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","2",""
"C5,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16","100nF","~","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","11",""
"D1,D2","1N914","http://www.vishay.com/docs/85622/1n914.pdf","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","2",""
"D3","POWER","~","LED_THT:LED_D5.0mm","1",""
"J1,J2","Conn_01x02_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","2",""
"J3,J4","Audio","","LocalFP:SWITCHCRAFT_PJRAN1X1U04X","2",""
"J5","Clock Source","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"J6","Bypass Clock Divider","~","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical","1",""
"P1","Cosmac VIP Edge","","Cosmac VIP Edge","1",""
"R1,R2,R5,R7,R9,R13,R15,R17","10K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","8",""
"R3,R4,R6,R8,R10,R11,R12,R14,R16,R18","20K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","10",""
"R19,R20,R21,R26","100K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","4",""
"R22","10k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R23","50K","~","3352T-1-503LF:TRIM_3352T-1-503LF","1",""
"R24","47K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R25","330","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"U1,U2","CDP1863","","Package_DIP:DIP-16_W7.62mm","2",""
"U3","CD4508A","","Package_DIP:DIP-24_W15.24mm","1",""
"U4","CD22100","","Package_DIP:DIP-16_W7.62mm","1",""
"U5","4001","http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4000bms-01bms-02bms-25bms.pdf","Package_DIP:DIP-14_W7.62mm","1",""
"U6,U9","4013","http://www.onsemi.com/pub/Collateral/MC14013B-D.PDF","Package_DIP:DIP-14_W7.62mm","2",""
"U7","CD4555","","Package_DIP:DIP-16_W7.62mm","1",""
"U8,U10","4011","http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4011bms-12bms-23bms.pdf","Package_DIP:DIP-14_W7.62mm","2",""
